"","Sample","Missing_Percentage"
"GSM4075844","GSM4075844",0.298695922169323
"GSM4075847","GSM4075847",0.254295176981991
"GSM4075850","GSM4075850",0.256934382115504
"GSM4075859","GSM4075859",0.305733802525357
"GSM4075860","GSM4075860",0.339060235975988
"GSM4075862","GSM4075862",0.303042848271579
"GSM4075868","GSM4075868",0.226868143241565
"GSM4075870","GSM4075870",0.265628234320017
"GSM4075872","GSM4075872",0.237010970813496
"GSM4075878","GSM4075878",0.265317739598427
"GSM4075881","GSM4075881",0.218019043676257
"GSM4075886","GSM4075886",0.312305940799006
"GSM4075890","GSM4075890",0.4133202235562
"GSM4075895","GSM4075895",0.360639619126475
"GSM4075903","GSM4075903",0.296004967915545
"GSM4075904","GSM4075904",0.347029600496792
"GSM4075906","GSM4075906",0.260505071413786
"GSM4075907","GSM4075907",0.359138894638791
"GSM4075909","GSM4075909",0.25543365762782
"GSM4075912","GSM4075912",0.215483336783275
"GSM4075916","GSM4075916",0.230594079900642
"GSM4075918","GSM4075918",0.389256882632995
"GSM4075919","GSM4075919",0.231163320223556
"GSM4075921","GSM4075921",0.270389153384392
"GSM4075926","GSM4075926",0.223349203063548
"GSM4075928","GSM4075928",0.252121713930863
"GSM4075929","GSM4075929",0.257503622438419
"GSM4075930","GSM4075930",0.237217967294556
"GSM4075940","GSM4075940",0.301852618505485
"GSM4075941","GSM4075941",0.196439660525771
"GSM4075954","GSM4075954",0.236079486648727
"GSM4075956","GSM4075956",0.216000827985924
"GSM4075958","GSM4075958",0.247981784309667
"GSM4075965","GSM4075965",0.264851997516042
"GSM4075967","GSM4075967",0.265835230801076
"GSM4075968","GSM4075968",0.261126060856965
"GSM4075973","GSM4075973",0.251914717449803
"GSM4075979","GSM4075979",0.278099772303871
"GSM4075983","GSM4075983",0.214500103498241
"GSM4075984","GSM4075984",0.239443179465949
"GSM4075986","GSM4075986",0.231163320223556
"GSM4075991","GSM4075991",0.216363071827779
"GSM4075996","GSM4075996",0.276961291658042
"GSM4076002","GSM4076002",0.262161043262265
"GSM4076009","GSM4076009",0.303974332436349
"GSM4076011","GSM4076011",0.320948043883254
"GSM4076012","GSM4076012",0.297609190643759
"GSM4076014","GSM4076014",0.245549575657214
"GSM4076017","GSM4076017",0.229145104533223
"GSM4076018","GSM4076018",0.301438625543366
"GSM4076019","GSM4076019",0.257814117160008
"GSM4076021","GSM4076021",0.264075760712068
"GSM4076024","GSM4076024",0.249172014075761
"GSM4076025","GSM4076025",0.243945352929
"GSM4076028","GSM4076028",0.273649347961085
"GSM4076029","GSM4076029",0.245032084454564
"GSM4816281","GSM4816281",0.184537362864831
"GSM4816283","GSM4816283",0.172790312564686
"GSM4816308","GSM4816308",0.149658455806251
"GSM4816310","GSM4816310",0.171600082798592
"GSM4816360","GSM4816360",0.152556406541089
"GSM4816362","GSM4816362",0.169323121506934
"GSM5035182","GSM5035182",0.132219002276961
"GSM5035183","GSM5035183",0.102049265162492
"GSM5035184","GSM5035184",0.12750983233285
"GSM5035185","GSM5035185",0.12771682881391
"GSM5035186","GSM5035186",0.127975574415235
"GSM5035187","GSM5035187",0.177137238666943
"GSM5035188","GSM5035188",0.161198509625336
"GSM5035189","GSM5035189",0.247878286069137
"GSM5035190","GSM5035190",0.230594079900642
"GSM5035191","GSM5035191",0.22107224177189
"GSM5035192","GSM5035192",0.194990685158352
"GSM5563565","GSM5563565",0.168598633823225
"GSM5563572","GSM5563572",0.147640240115918
"GSM5563579","GSM5563579",0.151262678534465
"GSM5563583","GSM5563583",0.16896087766508
"GSM5563588","GSM5563588",0.153280894224798
"GSM5563592","GSM5563592",0.178016973711447
"GSM5563595","GSM5563595",0.159025046574208
"GSM5563598","GSM5563598",0.146708755951149
"GSM5563601","GSM5563601",0.148882219002277
"GSM5563604","GSM5563604",0.158921548333678
"GSM5563608","GSM5563608",0.158197060649969
"GSM5563609","GSM5563609",0.15716207824467
"GSM5563616","GSM5563616",0.163785965638584
"GSM5563622","GSM5563622",0.141430345684123
"GSM5978789","GSM5978789",0.117625750362244
"GSM5978813","GSM5978813",0.110122127923825
"GSM5978814","GSM5978814",0.135479196853653
"GSM5978819","GSM5978819",0.132374249637756
"GSM5978850","GSM5978850",0.126888842889671
"GSM5978868","GSM5978868",0.111674601531774
"GSM5978871","GSM5978871",0.159439039536328
"GSM5978881","GSM5978881",0.153436141585593
"GSM5978887","GSM5978887",0.131391016352722
"GSM5978892","GSM5978892",0.0942868971227489
"GSM5978895","GSM5978895",0.12844131649762
"GSM5978899","GSM5978899",0.130925274270337
"GSM5976501","GSM5976501",0.121196439660526
"GSM5976566","GSM5976566",0.118971227489133
"GSM5976574","GSM5976574",0.138118401987166
"GSM5976584","GSM5976584",0.194059200993583
"GSM5976587","GSM5976587",0.138894638791141
"GSM5976592","GSM5976592",0.162026495549576
"GSM5976605","GSM5976605",0.14505278410267
"GSM5976610","GSM5976610",0.148933968122542
"GSM5976743","GSM5976743",0.123421651831919
"GSM5976744","GSM5976744",0.15100393293314
"GSM5976753","GSM5976753",0.123318153591389
"GSM5976757","GSM5976757",0.146864003311944
"GSM5976783","GSM5976783",0.121196439660526
"GSM5976785","GSM5976785",0.134599461809149
"GSM5976792","GSM5976792",0.125543365762782
"GSM5976802","GSM5976802",0.139049886151935
"GSM5976806","GSM5976806",0.140343614158559
"GSM5976811","GSM5976811",0.127044090250466
"GSM5976816","GSM5976816",0.130925274270337
"GSM5976819","GSM5976819",0.132167253156696
"GSM5976820","GSM5976820",0.115348789070586
"GSM5976839","GSM5976839",0.131960256675637
"GSM5976855","GSM5976855",0.12792382529497
"GSM5976863","GSM5976863",0.141119850962534
"GSM5977179","GSM5977179",0.172790312564686
"GSM5977180","GSM5977180",0.129528048023184
"GSM5977188","GSM5977188",0.120782446698406
"GSM5977198","GSM5977198",0.136824673980542
"GSM5977215","GSM5977215",0.144017801697371
"GSM5977217","GSM5977217",0.141792589525978
"GSM5977224","GSM5977224",0.135996688056303
"GSM5977225","GSM5977225",0.159180293935003
"GSM5977229","GSM5977229",0.137238666942662
"GSM5977234","GSM5977234",0.137911405506106
"GSM5977249","GSM5977249",0.122748913268474
"GSM5977565","GSM5977565",0.129476298902919
"GSM5977600","GSM5977600",0.141947836886773
"GSM5978410","GSM5978410",0.126630097288346
"GSM5978440","GSM5978440",0.125232871041192
"GSM5978454","GSM5978454",0.130252535706893
"GSM5978495","GSM5978495",0.115452287311116
"GSM5978518","GSM5978518",0.123318153591389
"GSM5976646","GSM5976646",0.129372800662389
"GSM5976665","GSM5976665",0.149140964603602
"GSM5976669","GSM5976669",0.151676671496585
"GSM5976670","GSM5976670",0.111105361208859
"GSM5976682","GSM5976682",0.133823225005175
"GSM5976691","GSM5976691",0.125802111364107
"GSM5976715","GSM5976715",0.137963154626371
"GSM5976724","GSM5976724",0.145208031463465
"GSM5976729","GSM5976729",0.15162492237632
"GSM5977005","GSM5977005",0.120109708134962
"GSM5977028","GSM5977028",0.112606085696543
"GSM5977041","GSM5977041",0.128958807700269
"GSM5977044","GSM5977044",0.119178223970193
"GSM5977048","GSM5977048",0.105723452701304
"GSM5977069","GSM5977069",0.143345063133927
"GSM5977071","GSM5977071",0.181173670047609
"GSM5977076","GSM5977076",0.141896087766508
"GSM5977079","GSM5977079",0.154160629269302
"GSM5977103","GSM5977103",0.12833781825709
"GSM5977118","GSM5977118",0.112036845373629
"GSM5977765","GSM5977765",0.13992962119644
"GSM5977776","GSM5977776",0.142258331608363
"GSM5977786","GSM5977786",0.124508383357483
"GSM5977795","GSM5977795",0.148985717242807
"GSM5978059","GSM5978059",0.15100393293314
"GSM5978061","GSM5978061",0.12259366590768
"GSM5978063","GSM5978063",0.137652659904782
"GSM5978065","GSM5978065",0.120471951976816
"GSM5978097","GSM5978097",0.141275098323328
"GSM5978099","GSM5978099",0.138791140550611
"GSM5978110","GSM5978110",0.141119850962534
"GSM5978111","GSM5978111",0.140912854481474
"GSM5978115","GSM5978115",0.129372800662389
"GSM5978138","GSM5978138",0.118298488925688
"GSM5978139","GSM5978139",0.148209480438833
"GSM5978145","GSM5978145",0.131339267232457
"GSM5978713","GSM5978713",0.155661353756986
"GSM5978749","GSM5978749",0.125129372800662
"GSM5978756","GSM5978756",0.121506934382116
"GSM5976887","GSM5976887",0.132115504036431
"GSM5976893","GSM5976893",0.114676050507141
"GSM5976932","GSM5976932",0.127302835851791
"GSM5976947","GSM5976947",0.130977023390602
"GSM5976951","GSM5976951",0.131391016352722
"GSM5976981","GSM5976981",0.108052163113227
"GSM5977379","GSM5977379",0.121041192299731
"GSM5977381","GSM5977381",0.118091492444628
"GSM5977384","GSM5977384",0.275926309252743
"GSM5977394","GSM5977394",0.123783895673774
"GSM5977397","GSM5977397",0.128855309459739
"GSM5977401","GSM5977401",0.125802111364107
"GSM5977419","GSM5977419",0.12782032705444
"GSM5977435","GSM5977435",0.124353135996688
"GSM5977498","GSM5977498",0.140084868557235
"GSM5977503","GSM5977503",0.132788242599876
"GSM5977675","GSM5977675",0.120316704616022
"GSM5977710","GSM5977710",0.126785344649141
"GSM5977719","GSM5977719",0.124094390395363
"GSM5977724","GSM5977724",0.133409232043055
"GSM5977728","GSM5977728",0.0312047195197682
"GSM5977736","GSM5977736",0.123111157110329
"GSM5977752","GSM5977752",0.126474849927551
"GSM5978286","GSM5978286",0.128596563858414
"GSM5978288","GSM5978288",0.115090043469261
"GSM5978314","GSM5978314",0.122127923825295
"GSM5978331","GSM5978331",0.143396812254192
"GSM5978334","GSM5978334",0.126009107845167
"GSM5978345","GSM5978345",0.11633202235562
"GSM5978348","GSM5978348",0.124042641275098
"GSM5978352","GSM5978352",0.0980645829020907
"GSM5978366","GSM5978366",0.129321051542124
"GSM5978376","GSM5978376",0.140654108880149
"GSM5978391","GSM5978391",0.142310080728628
"GSM5978533","GSM5978533",0.179465949078866
"GSM5978547","GSM5978547",0.120834195818671
"GSM5978552","GSM5978552",0.138066652866901
"GSM5978556","GSM5978556",0.131960256675637
"GSM5978565","GSM5978565",0.131753260194577
"GSM5978582","GSM5978582",0.134702960049679
"GSM5978630","GSM5978630",0.124974125439868
"GSM5978636","GSM5978636",0.12771682881391
"GSM5978642","GSM5978642",0.143552059614987
"GSM5978652","GSM5978652",0.122334920306355
"GSM5977254","GSM5977254",0.11643552059615
"GSM5977257","GSM5977257",0.133305733802525
"GSM5977263","GSM5977263",0.136358931898158
"GSM5977266","GSM5977266",0.128389567377355
"GSM5977268","GSM5977268",0.148571724280687
"GSM5977272","GSM5977272",0.11007037880356
"GSM5977273","GSM5977273",0.153850134547713
"GSM5977291","GSM5977291",0.137600910784517
"GSM5977305","GSM5977305",0.117056510039329
"GSM5977313","GSM5977313",0.127302835851791
"GSM5977317","GSM5977317",0.141119850962534
"GSM5977324","GSM5977324",0.118091492444628
"GSM5977329","GSM5977329",0.130614779548748
"GSM5977333","GSM5977333",0.125284620161457
"GSM5977335","GSM5977335",0.131649761954047
"GSM5977336","GSM5977336",0.247723038708342
"GSM5977337","GSM5977337",0.125025874560132
"GSM5977346","GSM5977346",0.136617677499483
"GSM5977347","GSM5977347",0.114624301386876
"GSM5977349","GSM5977349",0.127768577934175
"GSM5977355","GSM5977355",0.119126474849928
"GSM5977359","GSM5977359",0.152090664458704
"GSM5977362","GSM5977362",0.140136617677499
"GSM5977365","GSM5977365",0.121351687021321
"GSM5977366","GSM5977366",0.136617677499483
"GSM5977903","GSM5977903",0.115504036431381
"GSM5977911","GSM5977911",0.121610432622645
"GSM5977921","GSM5977921",0.126267853446491
"GSM5977939","GSM5977939",0.141430345684123
"GSM5977949","GSM5977949",0.125905609604637
"GSM5977951","GSM5977951",0.128079072655765
"GSM5977962","GSM5977962",0.11581453115297
"GSM5977996","GSM5977996",0.13315048644173
"GSM5977997","GSM5977997",0.109604636721176
"GSM5978000","GSM5978000",0.130097288346098
"GSM5978004","GSM5978004",0.146708755951149
"GSM5978013","GSM5978013",0.133046988201201
"GSM5978015","GSM5978015",0.111415855930449
"GSM5978017","GSM5978017",0.144017801697371
"GSM5978153","GSM5978153",0.111467605050714
"GSM5978162","GSM5978162",0.12792382529497
"GSM5978171","GSM5978171",0.129579797143449
"GSM5978242","GSM5978242",0.100962533636928
"GSM5978249","GSM5978249",0.113848064582902
"GSM5978256","GSM5978256",0.13930863175326
"GSM5978260","GSM5978260",0.107224177188988
"GSM5978273","GSM5978273",0.147329745394328
"GSM5978923","GSM5978923",0.131391016352722
"GSM5978935","GSM5978935",0.119074725729663
"GSM5978941","GSM5978941",0.0266507969364521
"GSM5978971","GSM5978971",0.18003518940178
"GSM2147884","GSM2147884",0.62207617470503
"GSM2147885","GSM2147885",0.152815152142414
"GSM2147886","GSM2147886",0.159801283378183
"GSM2147887","GSM2147887",0.560546470709998
"GSM2147888","GSM2147888",0.173204305526806
"GSM2147889","GSM2147889",0.173721796729456
"GSM2147890","GSM2147890",0.177809977230387
"GSM2147891","GSM2147891",0.190436762575036
"GSM2147892","GSM2147892",0.179569447319396
"GSM2147893","GSM2147893",0.18619333471331
"GSM2147894","GSM2147894",0.178793210515421
"GSM2147895","GSM2147895",0.165804181328917
"GSM2147896","GSM2147896",0.209428689712275
"GSM2147897","GSM2147897",0.166580418132892
"GSM2147898","GSM2147898",0.189557027530532
"GSM2147899","GSM2147899",0.181277168288139
"GSM2147900","GSM2147900",0.163061477954875
"GSM2147901","GSM2147901",0.170461602152763
"GSM2147907","GSM2147907",0.18567584351066
"GSM2147910","GSM2147910",0.170616849513558
"GSM2147911","GSM2147911",0.178482715793832
"GSM2147912","GSM2147912",0.162957979714345
"GSM2147913","GSM2147913",0.150538190850756
"GSM2147914","GSM2147914",0.164303456841234
"GSM2147915","GSM2147915",0.169685365348789
"GSM2147916","GSM2147916",0.191575243220865
"GSM2147919","GSM2147919",0.202597805837301
"GSM2147920","GSM2147920",0.157834816808114
"GSM2147921","GSM2147921",0.152142413578969
"GSM2147922","GSM2147922",0.160939764024012
"GSM2147923","GSM2147923",0.170772096874353
"GSM2147924","GSM2147924",0.171910577520182
"GSM2147925","GSM2147925",0.170202856551439
"GSM2147926","GSM2147926",0.171703581039122
"GSM2147931","GSM2147931",0.147950734837508
"GSM2147932","GSM2147932",0.157576071206789
"GSM2147933","GSM2147933",0.185624094390395
"GSM2147934","GSM2147934",0.168184640861105
"GSM2147935","GSM2147935",0.170254605671704
"GSM2147936","GSM2147936",0.170461602152763
"GSM2147937","GSM2147937",0.189712274891327
"GSM2147938","GSM2147938",0.239546677706479
"GSM2147939","GSM2147939",0.186141585593045
"GSM2147945","GSM2147945",0.682881391016353
"GSM2147946","GSM2147946",0.140447112399089
"GSM7114712","GSM7114712",0.123732146553509
"GSM7114718","GSM7114718",0.134547712688884
"GSM7114724","GSM7114724",0.100393293314014
"GSM7114726","GSM7114726",0.118246739805423
"GSM7114727","GSM7114727",0.128596563858414
"GSM7114730","GSM7114730",0.119850962533637
"GSM7114732","GSM7114732",0.123473400952184
"GSM7114737","GSM7114737",0.111157110329124
"GSM7114738","GSM7114738",0.158197060649969
"GSM7114740","GSM7114740",0.117677499482509
"GSM7114741","GSM7114741",0.111622852411509
"GSM7114748","GSM7114748",0.108414406955082
"GSM7114752","GSM7114752",0.111364106810184
"GSM7114761","GSM7114761",0.119747464293107
"GSM7114762","GSM7114762",0.110432622645415
"GSM7114763","GSM7114763",0.137600910784517
"GSM7114714","GSM7114714",0.115297039950321
"GSM7114735","GSM7114735",0.128182570896295
"GSM7114757","GSM7114757",0.11653901883668
